query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (576,35,'North And Middle Andaman');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (552,35,'South Andamans');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (458,28,'Anantapur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (459,28,'Chittoor');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (461,28,'East Godavari');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (462,28,'Guntur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (465,28,'Krishna');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (466,28,'Kurnool');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (472,28,'Prakasam');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (470,28,'Spsr Nellore');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (474,28,'Srikakulam');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (475,28,'Visakhapatanam');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (476,28,'Vizianagaram');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (478,28,'West Godavari');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (460,28,'Y.S.R.');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (572,12,'Anjaw');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302243,12,'Bichom');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (220,12,'Changlang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (221,12,'Dibang Valley');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (222,12,'East Kameng');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (223,12,'East Siang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (278062,12,'Kamle');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (302242,12,'Keyi Panyor');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274254,12,'Kra Daadi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (224,12,'Kurung Kumey');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (290216,12,'Leparada');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (225,12,'Lohit');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (262016,12,'Longding');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (226,12,'Lower Dibang Valley');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (279230,12,'Lower Siang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (227,12,'Lower Subansiri');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274256,12,'Namsai');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (289556,12,'Pakke Kessang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (228,12,'Papum Pare');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (290215,12,'Shi Yomi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (274255,12,'Siang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (229,12,'Tawang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (230,12,'Tirap');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (231,12,'Upper Siang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (232,12,'Upper Subansiri');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (233,12,'West Kameng');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (234,12,'West Siang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (299746,18,'Bajali');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (243,18,'Barpeta');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (277402,18,'Biswanath');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (244,18,'Bongaigaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (245,18,'Cachar');; affectedRows: 1
