query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6793,576,'Diglipur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6796,576,'Mayabunder');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6798,576,'Rangat');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6799,552,'Campbell Bay');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6794,552,'Ferrargunj');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6795,552,'Little Andaman');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (6797,552,'Prothrapur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5039,458,'Agali');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5040,458,'Amadagur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5041,458,'Amarapuram');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5042,458,'Anantapur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5043,458,'Atmakur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5044,458,'Bathalapalle');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5045,458,'Beluguppa');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5046,458,'Bommanahal');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5047,458,'Brahmasamudram');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5048,458,'Bukkapatnam');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5049,458,'Bukkarayasamudram');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5050,458,'Chennekothapalle');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5051,458,'Chilamathur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5053,458,'Dharmavaram');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5052,458,'D.Hirehal');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5054,458,'Gandlapenta');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5055,458,'Garladinne');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5056,458,'Gooty');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5057,458,'Gorantla');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5058,458,'Gudibanda');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5059,458,'Gummagatta');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5060,458,'Guntakal');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5061,458,'Hindupur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5062,458,'Kadiri');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5063,458,'Kalyandrug');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5064,458,'Kambadur');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5065,458,'Kanaganapalle');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5066,458,'Kanekal');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5067,458,'Kothacheruvu');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5068,458,'Kudair');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5069,458,'Kundurpi');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5070,458,'Lepakshi');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5071,458,'Madakasira');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5072,458,'Mudigubba');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5073,458,'Nallacheruvu');; affectedRows: 1
query: INSERT IGNORE INTO pri_inter_panchayats(block_panchayat_id, district_panchayat_id, block_panchayat_name) VALUES (5074,458,'Nallamada');; affectedRows: 1
