query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (253098,35,'','Port Blair'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (257868,28,'','Addanki'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251792,28,'','Adoni'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (296256,28,'','Akiveedu'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (253272,28,'','Allagadda'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (299713,28,'','Alluru'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251699,28,'','Amadalavalasa'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251735,28,'','Amalapuram'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (248112,28,'','Anantapur'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (258033,28,'','Atmakur'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (253270,28,'','Atmakur (Kurnool)'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (248111,28,'','Badvel'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251760,28,'','Bapatla'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (296260,28,'','Bethamcherla'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251741,28,'','Bhimavaram'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (299714,28,'','B Kothakota'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251702,28,'','Bobbili'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (296328,28,'','Buchireddypalem'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251756,28,'','Chilakaluripeta'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (253274,28,'','Chimakurthy'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (299715,28,'','Chinthalapudi'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251763,28,'','Chirala'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (248122,28,'','Chittoor'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251782,28,'','Cuddapah'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (296261,28,'','Dachepalli'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (296263,28,'','Darsi'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (248115,28,'','Dharmavaram'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (253169,28,'','Dhone(M)'); affectedRows: 1
query: INSERT INTO ulb_local_bodies(local_body_id, state_ut_id, local_body_type, local_body_name)  VALUES (251739,28,'','Eluru'); affectedRows: 1
