query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Ballari' AND local_body_id='251927';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Bbmp' AND local_body_id='276600';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Belagavi' AND local_body_id='251824';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Bidar' AND local_body_id='251867';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Davanagere' AND local_body_id='251941';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Hubballi-Dharwad' AND local_body_id='251893';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Kalaburagi City Corporation' AND local_body_id='248127';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Mangaluru' AND local_body_id='252021';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Mysuru' AND local_body_id='252045';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Raichur' AND local_body_id='251876';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Shivamogga' AND local_body_id='251951';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Tumakuru' AND local_body_id='251973';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Corporation' WHERE local_body_name='Vijayapura' AND local_body_id='251993';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Committee' WHERE local_body_name='Bhimarayanagudi' AND local_body_id='251860';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Committee' WHERE local_body_name='Hatti Gold Mines' AND local_body_id='251872';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Committee' WHERE local_body_name='Kudremukh' AND local_body_id='251967';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Notified Area Committee' WHERE local_body_name='Shahabad Acc' AND local_body_id='251854';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Ainapur' AND local_body_id='276618';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Ajjampura' AND local_body_id='296977';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Alamela' AND local_body_id='276540';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Alnavar' AND local_body_id='251894';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Alur' AND local_body_id='252013';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Aminagad' AND local_body_id='276597';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Anavatti' AND local_body_id='299181';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Ankalagi-Akkathangerahal' AND local_body_id='299329';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Arabhavi' AND local_body_id='276577';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Arkalgud' AND local_body_id='252014';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Aurad' AND local_body_id='251866';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Babaleshwar' AND local_body_id='299327';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bainduru' AND local_body_id='297129';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bajape' AND local_body_id='299320';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Balaganur' AND local_body_id='276523';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bashettihalli' AND local_body_id='299169';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Belagali' AND local_body_id='276529';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Belluru' AND local_body_id='276602';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Beltangadi' AND local_body_id='252034';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bhagyanagara' AND local_body_id='276604';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bilgi' AND local_body_id='251834';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Bogadi' AND local_body_id='299334';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Boragaon' AND local_body_id='276583';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Chadachana' AND local_body_id='276559';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Chennammana Kittur' AND local_body_id='276578';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Chinchali' AND local_body_id='276477';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Devarahipparagi' AND local_body_id='276558';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Doddathoguru' AND local_body_id='301176';; affectedRows: 1
