query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Kannur' AND local_body_id='252125';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Kochi' AND local_body_id='252220';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Kollam' AND local_body_id='252255';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Kozhikode' AND local_body_id='252160';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Thiruvananthapuram' AND local_body_id='252260';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPAL CORPORATION' WHERE local_body_name='Thrissur' AND local_body_id='252194';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Adoor' AND local_body_id='252253';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Alappuzha' AND local_body_id='252247';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Aluva' AND local_body_id='252211';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Angamaly' AND local_body_id='252208';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Anthur' AND local_body_id='272915';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Attingal' AND local_body_id='252258';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Chalakudy' AND local_body_id='252205';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Changanassery' AND local_body_id='252239';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Chavakkad' AND local_body_id='252181';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Chengannur' AND local_body_id='252249';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Cherpulassery' AND local_body_id='272906';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Cherthala' AND local_body_id='252242';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Chittur-Thathamangalam' AND local_body_id='252178';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Eloor' AND local_body_id='252218';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Erattupetta' AND local_body_id='272892';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Ettumanoor' AND local_body_id='272891';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Feroke' AND local_body_id='272900';; affectedRows: 1
