query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Bhopal' AND local_body_id='250946';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Burhanpur' AND local_body_id='250925';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Chhindwara' AND local_body_id='251026';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Dewas' AND local_body_id='250867';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Gwalior' AND local_body_id='250694';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Indore' AND local_body_id='250901';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Jabalpur' AND local_body_id='250995';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Khandwa' AND local_body_id='250923';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Morena' AND local_body_id='250677';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Murwara - Katni' AND local_body_id='250979';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Ratlam' AND local_body_id='250843';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Rewa' AND local_body_id='250797';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Sagar' AND local_body_id='250764';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Satna' AND local_body_id='250781';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Singrauli' AND local_body_id='248066';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Ujjain' AND local_body_id='250851';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Agar' AND local_body_id='250858';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Alirajpur' AND local_body_id='250882';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Amarwara' AND local_body_id='251008';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ambah' AND local_body_id='250675';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Amla' AND local_body_id='248073';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Anuppur Np' AND local_body_id='265847';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ashoknagar' AND local_body_id='250715';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ashta' AND local_body_id='250949';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Badnagar' AND local_body_id='250852';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Balaghat' AND local_body_id='251040';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Barwaha' AND local_body_id='250907';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Barwani' AND local_body_id='250914';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Begamganj' AND local_body_id='250957';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Berasia' AND local_body_id='250945';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Betul' AND local_body_id='248072';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Bhind' AND local_body_id='250684';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Biaora' AND local_body_id='250934';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Bijuri' AND local_body_id='253194';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Bina' AND local_body_id='250755';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Chanderi' AND local_body_id='250713';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Chaurai' AND local_body_id='251009';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Chhatarpur' AND local_body_id='250741';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Dabra' AND local_body_id='250698';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Damoh' AND local_body_id='250774';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Damua' AND local_body_id='293808';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Datia' AND local_body_id='250703';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Deori' AND local_body_id='250770';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Dhanpuri' AND local_body_id='250809';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Dhar' AND local_body_id='250887';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Dongar Parasia' AND local_body_id='251022';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gadarwara' AND local_body_id='250999';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ganjbasoda' AND local_body_id='293809';; affectedRows: 1
