query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Badangpet' AND local_body_id='257865';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Bandlaguda Jagir' AND local_body_id='290098';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Cyberabad Municipal Corporation' AND local_body_id='305330';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Hyderabad' AND local_body_id='251664';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Karimnagar' AND local_body_id='251653';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Khammam' AND local_body_id='248105';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Malkajgiri Municipal Corporation' AND local_body_id='305331';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Meerpet' AND local_body_id='276410';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Nizamabad' AND local_body_id='248091';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Ramagundam' AND local_body_id='251648';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Warangal' AND local_body_id='251691';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Achampet' AND local_body_id='263214';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Adibatla' AND local_body_id='290099';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Adilabad' AND local_body_id='248083';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Alair' AND local_body_id='290144';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Alampur' AND local_body_id='290062';; affectedRows: 1
