query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Almora' AND local_body_id='248449';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Dehradun' AND local_body_id='248430';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Haldwani-Cumkathgodam' AND local_body_id='248459';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Haridwar' AND local_body_id='248485';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Kanvnagri Kotdwar' AND local_body_id='248441';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Kashipur' AND local_body_id='248463';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Pithoragarh' AND local_body_id='248446';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Rishikesh' AND local_body_id='248434';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Roorkee' AND local_body_id='248478';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Rudrapur' AND local_body_id='248471';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Corporation' WHERE local_body_name='Srinagar' AND local_body_id='248437';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Bageshwar' AND local_body_id='248447';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Bajpur' AND local_body_id='248467';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Barahat-Uttarkashi' AND local_body_id='248410';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Barkot' AND local_body_id='248409';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Berinag' AND local_body_id='259826';; affectedRows: 1
