query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126450,257868,'Addanki-Ward No-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126459,257868,'Addanki Ward No-10');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126460,257868,'Addanki Ward No-11');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126461,257868,'Addanki Ward No-12');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126462,257868,'Addanki Ward No-13');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126463,257868,'Addanki Ward No-14');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126464,257868,'Addanki Ward No-15');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126465,257868,'Addanki Ward No-16');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126466,257868,'Addanki Ward No-17');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126467,257868,'Addanki Ward No-18');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126468,257868,'Addanki Ward No-19');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126451,257868,'Addanki-Ward No-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126469,257868,'Addanki Ward No-20');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126452,257868,'Addanki-Ward No-3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126453,257868,'Addanki-Ward No-4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126454,257868,'Addanki-Ward No-5');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126455,257868,'Addanki-Ward No-6');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126456,257868,'Addanki-Ward No-7');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126457,257868,'Addanki-Ward No-8');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (126458,257868,'Addanki-Ward No-9');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52839,251792,'Adoni (M) - Ward No.1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52848,251792,'Adoni (M) - Ward No.10');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52849,251792,'Adoni (M) - Ward No.11');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52850,251792,'Adoni (M) - Ward No.12');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52851,251792,'Adoni (M) - Ward No.13');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52852,251792,'Adoni (M) - Ward No.14');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52853,251792,'Adoni (M) - Ward No.15');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52854,251792,'Adoni (M) - Ward No.16');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52855,251792,'Adoni (M) - Ward No.17');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52856,251792,'Adoni (M) - Ward No.18');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52857,251792,'Adoni (M) - Ward No.19');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52840,251792,'Adoni (M) - Ward No.2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52858,251792,'Adoni (M) - Ward No.20');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52859,251792,'Adoni (M) - Ward No.21');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52860,251792,'Adoni (M) - Ward No.22');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52861,251792,'Adoni (M) - Ward No.23');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52862,251792,'Adoni (M) - Ward No.24');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52863,251792,'Adoni (M) - Ward No.25');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52864,251792,'Adoni (M) - Ward No.26');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52841,251792,'Adoni (M) - Ward No.3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52842,251792,'Adoni (M) - Ward No.4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (52843,251792,'Adoni (M) - Ward No.5');; affectedRows: 1
