query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296005,299131,'Akbarnagar (NP)-Ward NO-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296014,299131,'Akbarnagar (NP)-Ward NO-10');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296015,299131,'Akbarnagar (NP)-Ward NO-11');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296006,299131,'Akbarnagar (NP)-Ward NO-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296007,299131,'Akbarnagar (NP)-Ward NO-3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296008,299131,'Akbarnagar (NP)-Ward NO-4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296009,299131,'Akbarnagar (NP)-Ward NO-5');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296010,299131,'Akbarnagar (NP)-Ward NO-6');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296011,299131,'Akbarnagar (NP)-Ward NO-7');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296012,299131,'Akbarnagar (NP)-Ward NO-8');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3296013,299131,'Akbarnagar (NP)-Ward NO-9');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295973,299227,'Alam Nagar (NP)-Ward NO-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295982,299227,'Alam Nagar (NP)-Ward NO-10');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295983,299227,'Alam Nagar (NP)-Ward NO-11');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295984,299227,'Alam Nagar (NP)-Ward NO-12');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295985,299227,'Alam Nagar (NP)-Ward NO-13');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295986,299227,'Alam Nagar (NP)-Ward NO-14');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295987,299227,'Alam Nagar (NP)-Ward NO-15');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295988,299227,'Alam Nagar (NP)-Ward NO-16');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295989,299227,'Alam Nagar (NP)-Ward NO-17');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295990,299227,'Alam Nagar (NP)-Ward NO-18');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295991,299227,'Alam Nagar (NP)-Ward NO-19');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295974,299227,'Alam Nagar (NP)-Ward NO-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295992,299227,'Alam Nagar (NP)-Ward NO-20');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295993,299227,'Alam Nagar (NP)-Ward NO-21');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295975,299227,'Alam Nagar (NP)-Ward NO-3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295976,299227,'Alam Nagar (NP)-Ward NO-4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (3295977,299227,'Alam Nagar (NP)-Ward NO-5');; affectedRows: 1
