query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513237,297009,'Adarsh Nagar');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513233,297009,'Amb-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513234,297009,'Amb-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513235,297009,'Heeranagar-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513236,297009,'Heeranagar-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513232,297009,'Polian Jaswaln');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513238,297009,'Pratap Nagar-1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513239,297009,'Pratap Nagar-2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (2513240,297009,'Pratap Nagar-3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11565,248240,'Arki (NP) - Ward No.1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11566,248240,'Arki (NP) - Ward No.2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11567,248240,'Arki (NP) - Ward No.3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11568,248240,'Arki (NP) - Ward No.4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11569,248240,'Arki (NP) - Ward No.5');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11570,248240,'Arki (NP) - Ward No.6');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (11571,248240,'Arki (NP) - Ward No.7');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68144,248242,'Baddi (NP) - Ward No.1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68145,248242,'Baddi (NP) - Ward No.2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68146,248242,'Baddi (NP) - Ward No.3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68147,248242,'Baddi (NP) - Ward No.4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68148,248242,'Baddi (NP) - Ward No.5');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68149,248242,'Baddi (NP) - Ward No.6');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68150,248242,'Baddi (NP) - Ward No.7');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68151,248242,'Baddi (NP) - Ward No.8');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (68152,248242,'Baddi (NP) - Ward No.9');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297049,274797,'Baijnath Paprola (NP) - Ward No.1');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297058,274797,'Baijnath Paprola (NP) - Ward No.10');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297059,274797,'Baijnath Paprola (NP) - Ward No.11');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297050,274797,'Baijnath Paprola (NP) - Ward No.2');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297051,274797,'Baijnath Paprola (NP) - Ward No.3');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297052,274797,'Baijnath Paprola (NP) - Ward No.4');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297053,274797,'Baijnath Paprola (NP) - Ward No.5');; affectedRows: 1
query: INSERT INTO ulb_local_wards(local_ward_id, local_body_id, local_ward_name) VALUES (1297054,274797,'Baijnath Paprola (NP) - Ward No.6');; affectedRows: 1
